Dimension,Metric
adFormat,activeUsers
adFormat,addToCarts
adFormat,averagePurchaseRevenue
adFormat,averagePurchaseRevenuePerPayingUser
adFormat,averagePurchaseRevenuePerUser
adFormat,averageRevenuePerUser
adFormat,averageSessionDuration
adFormat,cartToViewRate
adFormat,checkouts
adFormat,conversions
adFormat,newUsers
adFormat,totalRevenue
adFormat,totalUsers
adFormat,transactions
adFormat,userConversionRate
adFormat,userEngagementDuration
adFormat,sessions
adFormat,bounceRate
adSourceName,activeUsers
adSourceName,addToCarts
adSourceName,averagePurchaseRevenue
adSourceName,averagePurchaseRevenuePerPayingUser
adSourceName,averagePurchaseRevenuePerUser
adSourceName,averageRevenuePerUser
adSourceName,averageSessionDuration
adSourceName,cartToViewRate
adSourceName,checkouts
adSourceName,conversions
adSourceName,newUsers
adSourceName,totalRevenue
adSourceName,totalUsers
adSourceName,transactions
adSourceName,userConversionRate
adSourceName,userEngagementDuration
adSourceName,sessions
adSourceName,bounceRate
brandingInterest,activeUsers
brandingInterest,addToCarts
brandingInterest,averagePurchaseRevenue
brandingInterest,averagePurchaseRevenuePerPayingUser
brandingInterest,averagePurchaseRevenuePerUser
brandingInterest,averageRevenuePerUser
brandingInterest,averageSessionDuration
brandingInterest,cartToViewRate
brandingInterest,checkouts
brandingInterest,conversions
brandingInterest,newUsers
brandingInterest,totalRevenue
brandingInterest,totalUsers
brandingInterest,transactions
brandingInterest,userConversionRate
brandingInterest,userEngagementDuration
brandingInterest,sessions
brandingInterest,bounceRate
campaignName,activeUsers
campaignName,advertiserAdClicks
campaignName,advertiserAdCost
campaignName,advertiserAdCostPerClick
campaignName,advertiserAdCostPerConversion
campaignName,advertiserAdImpressions
campaignName,averagePurchaseRevenuePerPayingUser
campaignName,averagePurchaseRevenuePerUser
campaignName,averageRevenuePerUser
campaignName,cartToViewRate
campaignName,conversions
campaignName,returnOnAdSpend
campaignName,totalRevenue
campaignName,totalUsers
campaignName,userConversionRate
campaignName,sessions
campaignName,bounceRate
City,activeUsers
City,addToCarts
City,averagePurchaseRevenue
City,averagePurchaseRevenuePerPayingUser
City,averagePurchaseRevenuePerUser
City,averageRevenuePerUser
City,averageSessionDuration
City,cartToViewRate
City,checkouts
City,conversions
City,newUsers
City,totalRevenue
City,totalUsers
City,transactions
City,userConversionRate
City,userEngagementDuration
City,sessions
City,bounceRate
Country,activeUsers
Country,addToCarts
Country,averagePurchaseRevenue
Country,averagePurchaseRevenuePerPayingUser
Country,averagePurchaseRevenuePerUser
Country,averageRevenuePerUser
Country,averageSessionDuration
Country,cartToViewRate
Country,checkouts
Country,conversions
Country,newUsers
Country,organicGoogleSearchAveragePosition
Country,organicGoogleSearchClickThroughRate
Country,organicGoogleSearchClicks
Country,organicGoogleSearchImpressions
Country,totalRevenue
Country,totalUsers
Country,transactions
Country,userConversionRate
Country,userEngagementDuration
Country,sessions
Country,bounceRate
deviceCategory,activeUsers
deviceCategory,addToCarts
deviceCategory,averagePurchaseRevenue
deviceCategory,averagePurchaseRevenuePerPayingUser
deviceCategory,averagePurchaseRevenuePerUser
deviceCategory,averageRevenuePerUser
deviceCategory,averageSessionDuration
deviceCategory,cartToViewRate
deviceCategory,checkouts
deviceCategory,conversions
deviceCategory,newUsers
deviceCategory,organicGoogleSearchAveragePosition
deviceCategory,organicGoogleSearchClickThroughRate
deviceCategory,organicGoogleSearchClicks
deviceCategory,organicGoogleSearchImpressions
deviceCategory,totalRevenue
deviceCategory,totalUsers
deviceCategory,transactions
deviceCategory,userConversionRate
deviceCategory,userEngagementDuration
deviceCategory,sessions
deviceCategory,bounceRate
googleAdsAdGroupName,activeUsers
googleAdsAdGroupName,advertiserAdClicks
googleAdsAdGroupName,advertiserAdCost
googleAdsAdGroupName,advertiserAdCostPerClick
googleAdsAdGroupName,advertiserAdCostPerConversion
googleAdsAdGroupName,advertiserAdImpressions
googleAdsAdGroupName,averagePurchaseRevenuePerPayingUser
googleAdsAdGroupName,averagePurchaseRevenuePerUser
googleAdsAdGroupName,averageRevenuePerUser
googleAdsAdGroupName,cartToViewRate
googleAdsAdGroupName,conversions
googleAdsAdGroupName,returnOnAdSpend
googleAdsAdGroupName,totalRevenue
googleAdsAdGroupName,totalUsers
googleAdsAdGroupName,userConversionRate
googleAdsAdGroupName,sessions
googleAdsAdGroupName,bounceRate
googleAdsAdNetworkType,activeUsers
googleAdsAdNetworkType,advertiserAdClicks
googleAdsAdNetworkType,advertiserAdCost
googleAdsAdNetworkType,advertiserAdCostPerClick
googleAdsAdNetworkType,advertiserAdCostPerConversion
googleAdsAdNetworkType,advertiserAdImpressions
googleAdsAdNetworkType,averagePurchaseRevenuePerPayingUser
googleAdsAdNetworkType,averagePurchaseRevenuePerUser
googleAdsAdNetworkType,averageRevenuePerUser
googleAdsAdNetworkType,cartToViewRate
googleAdsAdNetworkType,conversions
googleAdsAdNetworkType,returnOnAdSpend
googleAdsAdNetworkType,totalRevenue
googleAdsAdNetworkType,totalUsers
googleAdsAdNetworkType,userConversionRate
googleAdsAdNetworkType,sessions
googleAdsAdNetworkType,bounceRate
googleAdsCampaignName,activeUsers
googleAdsCampaignName,advertiserAdClicks
googleAdsCampaignName,advertiserAdCost
googleAdsCampaignName,advertiserAdCostPerClick
googleAdsCampaignName,advertiserAdCostPerConversion
googleAdsCampaignName,advertiserAdImpressions
googleAdsCampaignName,averagePurchaseRevenuePerPayingUser
googleAdsCampaignName,averagePurchaseRevenuePerUser
googleAdsCampaignName,averageRevenuePerUser
googleAdsCampaignName,cartToViewRate
googleAdsCampaignName,conversions
googleAdsCampaignName,returnOnAdSpend
googleAdsCampaignName,totalRevenue
googleAdsCampaignName,totalUsers
googleAdsCampaignName,userConversionRate
googleAdsCampaignName,sessions
googleAdsCampaignName,bounceRate
googleAdsKeyword,activeUsers
googleAdsKeyword,advertiserAdClicks
googleAdsKeyword,advertiserAdCost
googleAdsKeyword,advertiserAdCostPerClick
googleAdsKeyword,advertiserAdCostPerConversion
googleAdsKeyword,advertiserAdImpressions
googleAdsKeyword,averagePurchaseRevenuePerPayingUser
googleAdsKeyword,averagePurchaseRevenuePerUser
googleAdsKeyword,averageRevenuePerUser
googleAdsKeyword,cartToViewRate
googleAdsKeyword,conversions
googleAdsKeyword,returnOnAdSpend
googleAdsKeyword,totalRevenue
googleAdsKeyword,totalUsers
googleAdsKeyword,userConversionRate
googleAdsKeyword,sessions
